train_no,departure_time,destination,type,ladies_special
98903,06:53,GOREGAON,slow,no
98028,06:57,CSMT,slow,no
98030,07:09,VADALA ROAD,slow,no
98032,07:14,CSMT,slow,no
98034,07:22,VADALA ROAD,slow,no
98036,07:31,CSMT,slow,no
98905,07:39,GOREGAON,slow,no
98038,07:47,CSMT,slow,no
98040,07:55,VADALA ROAD,slow,no
98042,07:59,CSMT,slow,no
98044,08:09,CSMT,slow,no
98046,08:19,CSMT,slow,yes
98048,08:26,CSMT,slow,no
98050,08:38,VADALA ROAD,slow,no
98052,08:45,CSMT,slow,no
98054,08:49,VADALA ROAD,slow,no
98056,08:56,CSMT,slow,no
98058,09:09,CSMT,slow,no
98060,09:17,CSMT,slow,no
98062,09:28,CSMT,slow,no
98064,09:32,VADALA ROAD,slow,no
98068,09:44,VADALA ROAD,slow,no
98070,09:53,CSMT,slow,no
98072,10:05,CSMT,slow,no
98074,10:17,CSMT,slow,no
98076,10:21,VADALA ROAD,slow,no
98078,10:33,CSMT,slow,no
P1037,10:37,GOREGAON,slow,no
P1049,10:49,CSMT,slow,no
P1106,11:06,CSMT,slow,no
P1110,11:10,VADALA ROAD,slow,no
P1116,11:16,CSMT,slow,no
P1128,11:28,VADALA ROAD,slow,no
P1132,11:32,CSMT,slow,no
P1143,11:43,CSMT,slow,no
P1152,11:52,CSMT,slow,no
P1203,12:03,VADALA ROAD,slow,no
P1207,12:07,CSMT,slow,no
P1224,12:24,CSMT,slow,no
P1241,12:41,CSMT,slow,no
P1249,12:49,VADALA ROAD,slow,no
P1256,12:56,CSMT,slow,no
P1309,13:09,CSMT,slow,no
P1319,13:19,CSMT,slow,no
P1323,13:23,CSMT,slow,no
P1333,13:33,CSMT,slow,no
P1337,13:37,CSMT,slow,no
